"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"2QjOHCTQ1Jl3zawyYOpxh6",Sweater Weather,The Neighbourhood,45,0,-2,"",2023-11-21,92,false,240400,I Love You.,2013-04-19,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
"17cia5k4BpGVlyEfqrFH50",Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,46,0,4,"",2023-11-21,63,false,205483,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,0.518,0.368,11,-7.76,0,0.0353,0.855,0.0000049,0.119,0.234,141.934,4
"1dGr1c8CrMLDpV6mPbImSI",Lover,Taylor Swift,47,0,3,"",2023-11-21,92,false,221306,Lover,2019-08-23,0.359,0.543,7,-7.582,1,0.0919,0.492,0.0000158,0.118,0.453,68.534,4
"7aqfrAY2p9BUSiupwk3svU",First Person Shooter (feat. J. Cole),"Drake, J. Cole",48,-13,2,"",2023-11-21,91,true,247444,For All The Dogs,2023-10-06,0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,4
"4rXLjWdF2ZZpXCVTfWcshS",fukumean,Gunna,49,-2,-7,"",2023-11-21,94,true,125040,a Gift & a Curse,2023-06-16,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,4
"0lizgQ7Qw35od7CYaoMBZb",Santa Tell Me,Ariana Grande,50,0,0,"",2023-11-21,85,false,204093,Santa Tell Me,2014-11-24,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,4
"4CUvVaAYuXtvYURLFz7EIL",Chuyện Đôi Ta (feat. Muộii),"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",21,-3,3,VN,2023-11-21,67,false,208048,Chuyện Đôi Ta (feat. Muộii),2021-12-01,0.517,0.467,0,-7.222,1,0.0442,0.724,0.0,0.0908,0.453,199.815,3
"0gzpqwLf1jhNjnSJEyweAX",Tình cờ yêu em,"Kuun Đức Nam, Linh Thộn",22,0,-1,VN,2023-11-21,67,false,258471,Tình cờ yêu em,2023-06-10,0.75,0.349,0,-9.389,1,0.051,0.305,0.0,0.295,0.481,82.002,3
"3YctJXK6kznnWl68TnYobN",Anh Đã Ổn Hơn,RPT MCK,23,0,0,VN,2023-11-21,68,false,194005,"99%",2023-03-02,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892,3
"45Mswno1F7FoZkcmQkp7fi",Thích Em Hơi Nhiều,Wren Evans,24,0,-2,VN,2023-11-21,67,false,171741,Thích Em Hơi Nhiều,2021-06-18,0.92,0.41,11,-9.497,1,0.455,0.372,0.000595,0.126,0.861,143.034,4
